                                                                                                                                                          HISTORY OF SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Customer;;;;;;;;;;;;;Report Date;10/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;;;;;;;;;;;;;User;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salesrep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;10/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales Order #;Org Id;Warehouse Id;Year;Month;Invoice Number;Document Number;Invoice GL Date;Invoice Date;Customer Name;Cost Center;Major;Minor;Unique;Item (Product);Quantity Invoiced;U of M;Local Unit Selling Price;Local Sales Amount;Local Unit Cost;Local Fiscal Cost;Local Gross Profit;Gross Profit Margin %;USD Sales Amt;USD Cost of Goods;USD Gross Profit;USD Gross Profit Margin %;VAT;Slsrep Name;Customer #;Tran Type;Sales Order #;IBU;Group IBU;Sub IBU;Pack Code;Purchase Order Info;Item (Product) Code;REFERENCE;Dispatch Date;Dispatch Customer;Dispatch Cust Name;Dispatch Destination;Controlled Product;Currency;Exchange Rate Usd;Incoterm;Line Type;Quantity in KG;UoM Conversion;Transaction Date;Fiscal Number;;;
02-1-1610;604;;2022;9;02-1-1610;;29-sep-22;25-ago-22;MOLINOS AZTECA DE CHIAPAS;1220;;;;Data Conversion Opening balance;1;;2.335,99;971.260,02;0;0;971.260,02;100%;47.632,50;0;47.632,50;100%;0%;Hector Avila;1084465;BLA_CONVERSION_INV;02-1-1610;Food & Nutrition;BAKERY & BREAD;BAKERY MIX BLENDERS;;;;02-1-1610;;;MOLINOS AZTECA DE CHIAPAS;MEXICO;;USD;20,3907;;LINE;0;0;;??;;;
02-1-1611;604;;2022;9;02-1-1611;;29-sep-22;10-sep-22;MOLINOS AZTECA DE CHIAPAS;1220;;;;Data Conversion Opening balance;1;;1.114,86;443.198,50;0;0;443.198,50;100%;22.228,50;0;22.228,50;100%;0%;Hector Avila;1084465;BLA_CONVERSION_INV;02-1-1611;Food & Nutrition;BAKERY & BREAD;BAKERY MIX BLENDERS;;;;02-1-1611;;;MOLINOS AZTECA DE CHIAPAS;MEXICO;;USD;19,9383;;LINE;0;0;;??;;;
02-1-1612;604;;2022;9;02-1-1612;;29-sep-22;14-sep-22;HARINERA DE VERACRUZ S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;919,4;363.055,96;0;0;363.055,96;100%;18.270,00;0;18.270,00;100%;0%;Hector Avila;1083680;BLA_CONVERSION_INV;02-1-1612;Food & Nutrition;BAKERY & BREAD;BAKERY MIX BLENDERS;;;;02-1-1612;;;HARINERA DE VERACRUZ S.A. DE C.V.;MEXICO;;USD;19,8717;;LINE;0;0;;??;;;
02-1-1613;604;;2022;9;02-1-1613;;29-sep-22;22-sep-22;HARINERA DE YUCATAN, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;1.820,22;727.017,25;0;0;727.017,25;100%;36.377,60;0;36.377,60;100%;0%;Hector Avila;1083718;BLA_CONVERSION_INV;02-1-1613;Food & Nutrition;BAKERY & BREAD;BAKERY MIX BLENDERS;;;;02-1-1613;;;HARINERA DE YUCATAN, S.A. DE C.V.;MEXICO;;USD;19,9853;;LINE;0;0;;??;;;
02-1-1614;604;;2022;9;02-1-1614;;29-sep-22;22-sep-22;HARINERA DE VERACRUZ S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;1.828,34;730.262,86;0;0;730.262,86;100%;36.540,00;0;36.540,00;100%;0%;Hector Avila;1083680;BLA_CONVERSION_INV;02-1-1614;Food & Nutrition;BAKERY & BREAD;BAKERY MIX BLENDERS;;;;02-1-1614;;;HARINERA DE VERACRUZ S.A. DE C.V.;MEXICO;;USD;19,9853;;LINE;0;0;;??;;;
10-1-23537;604;;2022;9;10-1-23537;;29-sep-22;20-abr-22;MOLINOS AZTECA SA DE CV;1220;;;;Data Conversion Opening balance;1;;559,15;222.782,35;0;0;222.782,35;100%;11.136,00;0;11.136,00;100%;0%;Hector Avila;1083411;BLA_CONVERSION_INV;10-1-23537;Food & Nutrition;BAKERY & BREAD;BAKERY MIX BLENDERS;;;;10-1-23537;;;MOLINOS AZTECA SA DE CV;MEXICO;;USD;19,9158;;LINE;0;0;;??;;;
10-1-23676;604;;2022;9;10-1-23676;;29-sep-22;6-may-22;INDUSTRIAS ALIMENTICIAS FABP SA DE CV;1220;;;;Data Conversion Opening balance;1;;91,77;37.534,82;0;0;37.534,82;100%;1.856,00;0;1.856,00;100%;0%;Angelina Araujo;1083738;BLA_CONVERSION_INV;10-1-23676;Food & Nutrition;INGREDIENT PRODUCER;BLENDERS OTHERS;;;;10-1-23676;;;INDUSTRIAS ALIMENTICIAS FABP SA DE CV;MEXICO;;USD;20,2235;;LINE;0;0;;??;;;
10-1-23683;604;;2022;9;10-1-23683;;29-sep-22;6-may-22;GARCOMEX SA DE CV;1220;;;;Data Conversion Opening balance;1;;179,99;73.613,54;0;0;73.613,54;100%;3.640,00;0;3.640,00;100%;0%;César Martínez;1083897;BLA_CONVERSION_INV;10-1-23683;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-23683;;;GARCOMEX SA DE CV;MEXICO;;USD;20,2235;;LINE;0;0;;??;;;
10-1-23762;604;;2022;9;10-1-23762;;29-sep-22;17-may-22;MOLINOS AZTECA SA DE CV;1220;;;;Data Conversion Opening balance;1;;366,23;147.229,47;0;0;147.229,47;100%;7.342,80;0;7.342,80;100%;0%;Hector Avila;1083411;BLA_CONVERSION_INV;10-1-23762;Food & Nutrition;BAKERY & BREAD;BAKERY MIX BLENDERS;;;;10-1-23762;;;MOLINOS AZTECA SA DE CV;MEXICO;;USD;20,0495;;LINE;0;0;;??;;;
10-1-23823;604;;2022;9;10-1-23823;;29-sep-22;22-may-22;HENKEL CAPITAL SA DE CV;1220;;;;Data Conversion Opening balance;1;;118,94;46.697,15;0;0;46.697,15;100%;2.356,74;0;2.356,74;100%;0%;Diana Cruz;1083818;BLA_CONVERSION_INV;10-1-23823;ACES;Adhesives/Sealants;Adhesives;;;;10-1-23823;;;HENKEL CAPITAL SA DE CV;MEXICO;;USD;19,8143;;LINE;0;0;;??;;;
