                                                                                                                                                          HISTORY OF SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Customer;;;;;;;;;;;;;Report Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;;;;;;;;;;;;;User;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salesrep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales Order #;Org Id;Warehouse Id;Year;Month;Invoice Number;Document Number;Invoice GL Date;Invoice Date;Customer Name;Cost Center;Major;Minor;Unique;Item (Product);Quantity Invoiced;U of M;Local Unit Selling Price;Local Sales Amount;Local Unit Cost;Local Fiscal Cost;Local Gross Profit;Gross Profit Margin %;USD Sales Amt;USD Cost of Goods;USD Gross Profit;USD Gross Profit Margin %;VAT;Slsrep Name;Customer #;Tran Type;Sales Order #;IBU;Group IBU;Sub IBU;Pack Code;Purchase Order Info;Item (Product) Code;REFERENCE;Dispatch Date;Dispatch Customer;Dispatch Cust Name;Dispatch Destination;Controlled Product;Currency;Exchange Rate Usd;Incoterm;Line Type;Quantity in KG;UoM Conversion;Transaction Date;Fiscal Number;;;
01-1-83184;623;;2022;9;01-1-83184;;29-sep-22;20-ene-22;ARROW INTERNACIONAL DE CHIHUAHUA SA DE CV;1220;;;;Data Conversion Opening balance;1;;70.416,64;70.416,64;0;0;70.416,64;100%;3.564,14;0;3.564,14;100%;0%;OFICINA;1080551;BLA_CONVERSION_INV;01-1-83184;Polymers;Plastics;Injection moulding;;;;01-1-83184;;;ARROW INTERNACIONAL DE CHIHUAHUA SA DE CV;MEXICO;;MXN;19,757;;LINE;0;0;;??;;;
01-1-84268;623;;2022;9;01-1-84268;;29-sep-22;31-mar-22;PARKER INDUSTRIAL, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;102,41;43.480,24;0;0;43.480,24;100%;2.210,22;0;2.210,22;100%;0%;OFICINA;1080568;BLA_CONVERSION_INV;01-1-84268;Polymers;Plastics;Injection moulding;;;;01-1-84268;;;PARKER INDUSTRIAL, S DE RL DE CV;MEXICO;;USD;20,6047;;LINE;0;0;;??;;;
01-1-84269;623;;2022;9;01-1-84269;;29-sep-22;31-mar-22;PARKER INDUSTRIAL, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;2.584,39;2.584,39;0;0;2.584,39;100%;125,43;0;125,43;100%;0%;OFICINA;1080568;BLA_CONVERSION_INV;01-1-84269;Polymers;Plastics;Injection moulding;;;;01-1-84269;;;PARKER INDUSTRIAL, S DE RL DE CV;MEXICO;;MXN;20,6047;;LINE;0;0;;??;;;
01-1-84270;623;;2022;9;01-1-84270;;29-sep-22;31-mar-22;PARKER INDUSTRIAL, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;11,77;4.998,49;0;0;4.998,49;100%;242,59;0;242,59;100%;0%;OFICINA;1080568;BLA_CONVERSION_INV;01-1-84270;Polymers;Plastics;Injection moulding;;;;01-1-84270;;;PARKER INDUSTRIAL, S DE RL DE CV;MEXICO;;USD;20,6047;;LINE;0;0;;??;;;
01-1-84271;623;;2022;9;01-1-84271;;29-sep-22;31-mar-22;PARKER INDUSTRIAL, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;100,09;42.494,52;0;0;42.494,52;100%;2.062,37;0;2.062,37;100%;0%;OFICINA;1080568;BLA_CONVERSION_INV;01-1-84271;Polymers;Plastics;Injection moulding;;;;01-1-84271;;;PARKER INDUSTRIAL, S DE RL DE CV;MEXICO;;USD;20,6047;;LINE;0;0;;??;;;
01-1-84410;623;;2022;9;01-1-84410;;29-sep-22;9-abr-22;TYCO ELECTRONICS TECNOLOGIAS S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;22.636,72;22.636,72;0;0;22.636,72;100%;1.072,37;0;1.072,37;100%;0%;OFICINA;1080678;BLA_CONVERSION_INV;01-1-84410;Polymers;Plastics;Injection moulding;;;;01-1-84410;;;TYCO ELECTRONICS TECNOLOGIAS S DE RL DE CV;MEXICO;;MXN;20,1765;;LINE;0;0;;??;;;
01-1-84587;623;;2022;9;01-1-84587;;29-sep-22;22-abr-22;OCEANS COMPOSITES MEXICO S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;32,87;12.903,99;0;0;12.903,99;100%;651,24;0;651,24;100%;0%;Alfonso Suárez;1080765;BLA_CONVERSION_INV;01-1-84587;Multi-Industry (Others);Other;All Others;;;;01-1-84587;;;OCEANS COMPOSITES MEXICO S DE RL DE CV;MEXICO;;USD;19,8145;;LINE;0;0;;??;;;
01-1-84939;623;;2022;9;01-1-84939;;29-sep-22;13-may-22;CARL ZEISS VISION MANUFACTURA DE MEXICO, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;114,73;45.365,18;0;0;45.365,18;100%;2.281,40;0;2.281,40;100%;0%;David Oceguera;1080579;BLA_CONVERSION_INV;01-1-84939;Polymers;Plastics;Polymers Others;;;;01-1-84939;;;CARL ZEISS VISION MANUFACTURA DE MEXICO, S DE RL DE CV;MEXICO;;USD;19,8848;;LINE;0;0;;??;;;
01-1-85029;623;;2022;9;01-1-85029;;29-sep-22;20-may-22;BAJA RESOURCE SERVICES, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;41,93;16.491,71;0;0;16.491,71;100%;831,6;0;831,6;100%;0%;Alfonso Suárez;1080524;BLA_CONVERSION_INV;01-1-85029;Multi-Industry (Others);Metal Working;Metal Working Others;;;;01-1-85029;;;BAJA RESOURCE SERVICES, S DE RL DE CV;MEXICO;;USD;19,8313;;LINE;0;0;;??;;;
01-1-85047;623;;2022;9;01-1-85047;;29-sep-22;22-may-22;MEDIMEXICO S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;61.959,64;61.959,64;0;0;61.959,64;100%;3.127,02;0;3.127,02;100%;0%;Samantha Acevedo;1080676;BLA_CONVERSION_INV;01-1-85047;Polymers;Plastics;Injection moulding;;;;01-1-85047;;;MEDIMEXICO S DE RL DE CV;MEXICO;;MXN;19,8143;;LINE;0;0;;??;;;
01-1-85177;623;;2022;9;01-1-85177;;29-sep-22;1-jun-22;NYPRO HEALTHCARE BAJA INC;1220;;;;Data Conversion Opening balance;1;;36,18;14.389,74;0;0;14.389,74;100%;722,5;0;722,5;100%;0%;David Oceguera;1080713;BLA_CONVERSION_INV;01-1-85177;Polymers;Plastics;Compounders;;;;01-1-85177;;;NYPRO HEALTHCARE BAJA INC;AMERICA;;USD;19,9442;;LINE;0;0;;??;;;
01-1-85279;623;;2022;9;01-1-85279;;29-sep-22;7-jun-22;SMITHS MEDICAL ASD, INC;1220;;;;Data Conversion Opening balance;1;;8,58;3.451,61;0;0;3.451,61;100%;172,06;0;172,06;100%;0%;Samantha Acevedo;1080757;BLA_CONVERSION_INV;01-1-85279;Polymers;Plastics;Injection moulding;;;;01-1-85279;;;SMITHS MEDICAL ASD, INC;IRELAND;;USD;20,0605;;LINE;0;0;;??;;;
01-1-85298;623;;2022;9;01-1-85298;;29-sep-22;8-jun-22;NYPRO HEALTHCARE BAJA INC;1220;;;;Data Conversion Opening balance;1;;39,09;15.532,04;0;0;15.532,04;100%;779,22;0;779,22;100%;0%;David Oceguera;1080713;BLA_CONVERSION_INV;01-1-85298;Polymers;Plastics;Compounders;;;;01-1-85298;;;NYPRO HEALTHCARE BAJA INC;AMERICA;;USD;19,9328;;LINE;0;0;;??;;;
01-1-85324;623;;2022;9;01-1-85324;;29-sep-22;10-jun-22;AUTOMOTIVE LIGHTING LLC;1220;;;;Data Conversion Opening balance;1;;323,29;126.392,88;0;0;126.392,88;100%;6.392,26;0;6.392,26;100%;0%;David Oceguera;1080692;BLA_CONVERSION_INV;01-1-85324;Automotive;Automotive Plastics;Compounders & Auto parts;;;;01-1-85324;;;AUTOMOTIVE LIGHTING LLC;AMERICA;;USD;19,7728;;LINE;0;0;;??;;;
01-1-85370;623;;2022;9;01-1-85370;;29-sep-22;11-jun-22;SIGMA INKS CORPORATION;1220;;;;Data Conversion Opening balance;1;;34,75;13.472,68;0;0;13.472,68;100%;684,25;0;684,25;100%;0%;Sofia Cruz;1080714;BLA_CONVERSION_INV;01-1-85370;ACES;Inks;Inks;;;;01-1-85370;;;SIGMA INKS CORPORATION;AMERICA;;USD;19,6897;;LINE;0;0;;??;;;
